51300026516,gga,259,145
51300042766,gce,61,83
51300054195,bbg,269,159
51300068480,ace,3,202
51300104136,dbe,17,132
51300179027,aca,77,33
51300220550,bbb,61,174
51300228280,ccd,10,147
51300268418,adb,274,241
51300283136,ada,3,207
51300306516,ecg,287,143
51300363792,dag,169,242
51300381774,aad,220,292
51300417155,cbg,21,269
51300456245,dfg,131,233
51300471490,fac,96,263
51300495463,fae,269,35
51300536615,dfd,145,92
51300560096,ebf,1,142
51300571817,fca,49,138
51300656688,deb,138,217
51300671527,agf,231,102
51300672617,bda,92,15
51300672637,cgg,256,239
51300674207,cdg,186,67
51300716837,eab,243,145
51300753728,bfd,281,155
51300773515,gfc,80,54
51300827759,gde,38,50
51300840327,dee,48,50
51300842986,fea,61,30
51300846812,gca,103,25
51300853076,fgf,13,107
51300922933,cfd,32,207
51300924248,eac,4,222
51300976703,agg,116,247
51300993687,agc,17,83
51301027330,ffe,184,206
51301096552,gab,183,174
51301116064,fcd,204,83
51301118930,dga,286,98
51301119125,gfe,238,182
51301133587,gga,108,152
51301166092,beb,277,231
51301174004,fed,240,248
51301194818,dcc,129,84
51301213973,eef,206,200
51301231366,cdc,153,233
51301279680,dbb,175,273
51301320326,dbd,17,266
51301337174,daa,179,254
51301349914,gac,162,94
51301355923,dda,184,87
51301370205,agd,116,57
51301436195,bba,202,249
51301454058,bed,265,170
51301485531,bcd,128,217
51301493863,gae,86,242
51301507122,gbd,214,152
51301513075,dag,107,205
51301514449,ddd,28,49
51301514634,gae,205,266
51301558721,ffe,84,220
51301566760,eec,28,223
51301597617,gbe,286,47
51301606977,geg,147,249
51301608950,gcc,55,91
51301617878,bfc,237,267
51301624335,dba,24,75
51301670808,gbc,168,76
51301685069,eeg,54,28
51301686148,efg,39,228
51301782696,dee,33,59
51301825535,baf,186,294
51301832383,dag,1,205
51301853499,bed,202,175
51301900453,fbe,79,17
51301938057,acf,9,287
51301939487,ebf,79,115
51301954743,dcc,218,96
51301986260,gbd,277,145
51301991641,fbd,164,143
51302060591,egf,176,238
51302070295,cde,249,49
51302108881,afb,9,212
51302127145,fbe,118,16
51302128735,cfe,59,214
51302190411,dcc,60,90
51302205388,aee,123,296
51302218947,feg,250,288
51302227579,ddc,61,134
51302232280,fcb,85,153
51302246818,efe,290,190
51302255351,bbb,217,142
51302256685,gbd,3,140
51302261192,bfc,115,275
51302268528,cgf,6,25
51302269626,dfa,264,231
51302280023,gdg,285,6
51302305842,agb,195,29
51302321456,aca,189,37
51302343672,fab,210,169
51302360514,cee,47,296
51302379955,bcc,105,265
51302383210,bba,251,219
51302385584,gba,226,62
51302429091,aed,217,272
51302459056,eff,235,106
51302461059,eca,23,290
51302481205,edd,185,145
51302489093,aef,277,213
51302569101,ace,113,236
51302580274,abf,81,182
51302700732,gfa,215,267
51302725813,cec,283,273
51302768439,ged,197,134
51302772518,cce,92,108
51302775171,eaa,269,235
51302781583,eeg,17,23
51302818112,fbg,154,114
51302836570,aae,5,214
51302848169,bfa,104,109
51302848389,ccd,67,139
51302886978,agg,75,217
51302903231,dce,182,291
51302904061,eea,212,296
51302906931,dca,33,134
51302951981,fea,272,35
51302967592,fbb,73,202
51302986548,cef,169,195
51302993153,gfe,97,203
51303030632,ade,153,193
51303031640,cge,120,42
51303035192,gag,156,35
51303127408,bgd,29,96
51303138184,efd,253,211
51303138832,ecf,106,114
51303146501,dag,206,170
51303163341,bab,193,80
51303172438,bba,18,258
51303209500,aec,193,23
51303228904,gac,86,100
51303231822,eca,286,304
51303238498,feg,39,267
51303254702,ddb,152,135
51303254740,fgg,157,12
51303261519,bdb,194,205
51303272352,dbd,152,228
51303276286,fff,58,272
51303286492,cca,123,280
51303286901,aaa,289,185
51303308909,edg,219,190
51303314934,gdc,274,241
51303351588,bff,273,66
51303393083,ede,130,96
51303410833,cda,33,234
51303459377,bee,152,231
51303473289,dbd,218,202
51303523139,egd,164,52
51303529291,abd,212,290
51303548656,ggc,264,289
51303550013,ccc,4,31
51303587660,fgb,182,70
51303592922,abd,105,316
51303607938,dgg,135,194
51303648267,bfd,257,158
51303658038,cbe,174,186
51303717076,ece,114,218
51303748848,fdf,50,26
51303755172,gee,231,35
51303769367,gea,143,154
51303785124,agc,233,86
51303789815,bag,124,122
51303796444,cad,164,270
51303799125,bcf,204,91
51303829048,eag,23,53
51303876053,age,268,46
51303919740,eae,135,38
51303944187,fed,72,198
51303952203,ddg,93,205
51303954729,gde,174,53
51303990676,ada,198,180
51304062443,bge,18,157
51304068554,age,98,36
51304095308,eeg,35,23
51304102898,gdf,136,26
51304122522,dad,115,153
51304129045,cdg,154,73
51304164194,bae,197,262
51304179953,egc,113,119
51304206621,fdf,1,24
51304211341,gff,250,215
51304255767,agf,98,85
51304262715,fbf,1,95
51304265067,dbe,80,109
51304294375,deb,240,173
51304317341,fag,124,161
51304347308,egf,287,238
51304397364,dba,299,77
51304432090,bcg,166,193
51304446835,gef,228,61
51304447783,aaf,244,274
51304449814,baa,17,86
51304460837,bga,243,196
51304467157,agd,273,59
51304477457,gfb,34,276
51304478156,cag,83,117
51304498760,dec,28,5
51304509488,aab,136,245
51304511286,gad,66,122
51304526567,eef,135,234
51304532625,dae,84,281
51304537318,cdc,104,195
51304540294,ffa,36,193
51304556907,fcg,250,173
51304569518,fbd,284,147
51304572086,ceg,95,73
51304608308,gge,185,36
51304677773,ddc,153,107
51304713162,fdd,48,49
51304719894,dab,83,11
51304735700,bcf,68,81
51304746931,gbd,209,120
51304760198,fbc,166,16
51304778662,cfc,243,21
51304792714,cba,61,229
51304800735,dge,134,171
51304804444,abe,99,240
51304818313,aad,37,321
51304844451,bbg,8,189
51304875418,gdf,79,28
51304913505,bdf,181,153
51304926503,abb,194,237
51304943744,def,122,85
51304955457,aag,124,213
51304976989,afc,60,205
51305009680,acd,50,253
51305021370,agf,105,77
51305024054,cfd,174,192
51305025715,aef,61,176
51305029190,cfa,24,58
51305038191,gaa,100,122
51305050569,gdb,199,296
51305055545,gce,79,88
51305103816,edf,12,17
51305145569,adf,19,229
51305151091,bde,86,96
51305160646,cec,161,270
51305173295,cag,215,98
51305178179,bbb,148,161
51305184174,bcb,81,291
51305209917,dcf,34,106
51305210266,dbf,284,133
51305215373,ffb,273,188
51305220578,fgd,275,223
51305232120,adb,195,267
51305241082,fce,112,243
51305248792,eab,294,130
51305287229,fgf,88,110
51305300635,gef,99,66
51305301036,gbc,86,85
51305315921,egc,229,111
51305321433,cfd,174,184
51305337742,caf,86,169
51305367454,abc,162,197
51305371378,dgb,215,146
51305379131,cca,62,246
51305386205,gad,291,101
51305398700,egb,294,169
51305420617,aeb,39,144
51305422995,afa,18,287
51305436262,add,286,235
51305443617,adb,193,245
51305452401,cfb,60,25
51305460351,baf,222,276
51305486530,ccb,204,241
51305487061,bfb,297,139
51305514814,ecf,233,93
51305519508,gdc,96,265
51305537389,ege,147,118
51305552208,eba,175,123
51305553213,dec,68,5
51305573168,gcg,19,290
51305595657,gbd,136,130
51305598036,bbd,162,208
51305627154,dde,240,262
51305634528,aac,170,165
51305653377,cga,36,271
51305657102,cbc,192,214
51305691345,fag,197,136
51305703245,bed,75,140
51305721575,ddc,254,104
51305742048,cgg,29,219
51305748659,dgb,253,141
51305751794,bec,186,135
51305756647,cef,239,216
51305772523,bac,67,113
51305777422,ace,118,224
51305787282,agb,75,24
51305793752,gcf,111,104
51305824411,bed,153,120
51305828453,ddd,42,49
51305847036,agf,10,70
51305895767,egd,228,53
51305948826,bad,260,297
51305949546,fcc,141,95
